 Source Target DistanceMetric.WMD SimilarityMetric.WMD_sim DistanceMetric.SCM SimilarityMetric.SCM_sim EntropyMetric.MSI_I EntropyMetric.MSI_X EntropyMetric.Entropy_src EntropyMetric.Entropy_tgt EntropyMetric.JI EntropyMetric.MI EntropyMetric.Loss EntropyMetric.Noise Linked?
0 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/VediPrenotazione.java 1.2196464105476434 0.45052220716238967 0.8934120684862137 0.10658793151378632 2.1280852788913944 1.2238339714721664 6.7434000566562675 5.386945882236018 7.124062763732339 5.006283175159948 0.3806627070760715 1.7371168814963207 0.0
1 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/CancellaBeniServizi.java 1.259382013035165 0.4425989028108794 0.9877278115600348 0.012272188439965248 2.521640636343318 1.2998438251349493 6.7434000566562675 6.0675331953004825 6.81033991273742 6.000593339219331 0.06693985608115227 0.7428067174369373 0.0
2 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/SubRistorazione.java 1.2848501223771982 0.4376654688227788 0.9945083856582642 0.00549161434173584 0.0 0.0 6.7434000566562675 5.5658206807127435 7.110109704309515 5.199111033059495 0.36670964765324765 1.5442890235967717 0.0
3 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/AggiungiSoggiornante.java 1.175366266932201 0.4596927033396747 0.8637119680643082 0.13628803193569183 2.555913095175825 1.2571216042947342 6.7434000566562675 6.123994413403094 7.151263181102747 5.716131288956614 0.40786312444647965 1.0272687676996535 0.0
4 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/MascheraPerAddebitare.java 1.2232555111898629 0.44979085623172954 0.938434362411499 0.06156563758850098 3.1068905956085184 1.3362845045884086 6.7434000566562675 6.397273373361685 7.227517085474125 5.913156344543826 0.4841170288178578 0.8302437121124404 0.0
5 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/RicercaAddebiti.java 1.1928191571177111 0.45603395827425264 0.8949600905179977 0.10503990948200226 2.9053077763737463 1.3046900550475793 6.7434000566562675 6.667921461793455 7.403967331743022 6.007354186706699 0.6605672750867546 0.7360458699495673 0.0
6 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/VediSoggiornante.java 1.2494764182587936 0.4445478920708356 0.9855181081220508 0.014481891877949238 1.0 1.0 6.7434000566562675 5.044600372962236 6.930670627435103 4.8573298021834 0.18727057077883558 1.886070254472867 0.0
7 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/DescrittoreStanze.java 1.1751203063447817 0.45974468496433063 0.8811540082097054 0.11884599179029465 3.2888840705376357 1.3402540609656188 6.7434000566562675 6.505375264874212 7.218583029595759 6.030192291934721 0.47518297293949185 0.7132077647215471 0.0
8 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/SubGestione.java 1.2807641107696166 0.43844955086677595 0.950493510812521 0.04950648918747902 1.8423709931771084 1.1893232685884285 6.7434000566562675 5.72164585021745 7.002366453659546 5.462679453214172 0.2589663970032783 1.280720603442096 0.0
9 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/AskChiudiSingoloConAgenzia.java 1.2621322806730748 0.44206079748018096 0.9870873540639877 0.012912645936012268 1.0 1.0 6.7434000566562675 5.923285097972854 7.2511213398532455 5.415563814775876 0.507721283196978 1.3278362418803917 0.0
10 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/MascheraCambio.java 1.1957548427393365 0.45542424888947974 0.9100350588560104 0.08996494114398956 3.208694969562842 1.3290044420171379 6.7434000566562675 6.750205875319127 7.368465508420591 6.125140423554805 0.625065451764323 0.6182596331014638 0.0
11 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/SubSoggiorno.java 1.2685887076020628 0.4408026878777058 0.9780767057090998 0.02192329429090023 1.8423709931771088 1.1893232685884285 6.7434000566562675 5.9507084082735275 7.029149209079588 5.664959255850206 0.2857491524233202 1.0784408008060602 0.0
12 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/SubStanze.java 1.2272252950562976 0.4489891535533782 0.9009961932897568 0.09900380671024323 2.4225797618424916 1.2502457741381303 6.7434000566562675 5.7329391124699 6.9450271563423 5.531312012783867 0.2016270996860321 1.2120880438723995 0.0
13 ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/requirements/F-PRE-03.txt ../dvc-ds4se/se-benchmarking/traceability/datasets/formatted/semeru_format/Albergate_semeru_format/source_code/ModificaStanze.java 1.1905842751921634 0.4564992140794389 0.9221332967281342 0.07786670327186584 1.896240625180289 1.156488050189745 6.7434000566562675 5.502349813014736 6.972996550963247 5.272753318707757 0.22959649430697926 1.4706467379485106 0.0
