 Source Target COS_dist SCM_dist WMD_dist COS_sim SCM_sim WMD_sim MSI_I MSI_X SourceFile TargetFile Linked?
30 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/GroundstationConnector.java 0.1622257085429345 0.8377742914570655 0.814812570810318 0.18518743 1.0596976056272385 0.4855081625904355 2.2516291673878226 1.2667563532600834 RE-616.txt GroundstationConnector.java 1
38 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/WriteDispatcher.java 0.1638223806105594 0.8361776193894406 0.7432395815849304 0.25676042 1.0310146629426005 0.4923647368213321 1.5 1.1225562489182657 RE-616.txt WriteDispatcher.java 1
86 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/ReadDispatcher.java 0.148763973333838 0.8512360266661619 0.6665796637535095 0.33342034 1.0602092489262245 0.4853875889166099 2.2516291673878226 1.2667563532600834 RE-616.txt ReadDispatcher.java 1
122 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DispatchQueueManager.java 0.1598689585517766 0.8401310414482234 0.7069814205169678 0.29301858 1.0446287482364316 0.4890863443363678 2.5216406363433186 1.2998438251349491 RE-616.txt DispatchQueueManager.java 1
144 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DroneFlightStateManager.java 0.2085512175158169 0.791448782484183 0.9583977982401848 0.0416022 1.0974767288251976 0.4767633348476303 1.5 1.1225562489182657 RE-616.txt DroneFlightStateManager.java 1
164 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/AbstractDroneCommand.java 0.2152418766660297 0.7847581233339702 0.8869998008012772 0.1130002 1.0602603951879996 0.4853755390996338 1.584962500721156 1.1699250014423124 RE-616.txt AbstractDroneCommand.java 1
183 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/PhysicalDrone.java 0.1578280238689473 0.8421719761310527 0.8073288053274155 0.1926712 1.0063033077752317 0.4984291239139157 1.9219280948873625 1.2148067842293933 RE-616.txt PhysicalDrone.java 1
238 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-574.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/PhysicalDroneFleetFactory.java 0.2815804359088715 0.7184195640911285 0.9285257905721664 0.07147421 1.1001322895444228 0.4761604804509377 1.584962500721156 1.1699250014423124 RE-574.txt PhysicalDroneFleetFactory.java 1
367 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-574.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/PhysicalDrone.java 0.2747296434970451 0.7252703565029549 0.923688307404518 0.07631169 1.1247671321337362 0.4706398103004251 1.5 1.1225562489182657 RE-574.txt PhysicalDrone.java 1
384 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-549.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/FlightZoneManager2.java 0.1883750691522858 0.8116249308477141 0.7641564458608627 0.23584355 0.9877961181762503 0.5030697015936791 2.25 1.2709632597765914 RE-549.txt FlightZoneManager2.java 1
508 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-549.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/PlanPoolManager.java 0.1967976233828786 0.8032023766171213 0.6295316815376282 0.37046832 0.9344558971877822 0.5169412243792951 1.9502120649147463 1.2308224193674735 RE-549.txt PlanPoolManager.java 1
555 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-80.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/VirtualDrone.java 0.2181027567980569 0.7818972432019431 0.9028236344456672 0.097176366 1.082053477348867 0.4802950600833394 2.251629167387823 1.2667563532600834 RE-80.txt VirtualDrone.java 1
651 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-80.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SoloDirector.java 0.2165637218849904 0.7834362781150096 0.8059705346822739 0.19402947 1.0023933407923096 0.4994023799561372 2.235926350629033 1.2653331222512114 RE-80.txt SoloDirector.java 1
679 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-80.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/ManagedDrone.java 0.1853748523850121 0.8146251476149878 0.8052094131708145 0.19479059 1.0478626683441898 0.4883139946139821 2.9219280948873623 1.3359016564230497 RE-80.txt ManagedDrone.java 1
735 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-80.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/PhysicalDrone.java 0.2294525685089969 0.770547431491003 0.8707139194011688 0.12928608 1.0666284461268256 0.4838799165249811 2.521640636343318 1.2998438251349491 RE-80.txt PhysicalDrone.java 1
776 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-589.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DronologyConstants.java 0.3906199581740406 0.6093800418259594 1.0 0.0 1.1803310930520914 0.4586459383103007 0.0 0.0 RE-589.txt DronologyConstants.java 1
923 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-576.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/VirtualDrone.java 0.2704126664632967 0.7295873335367032 0.7869051992893219 0.2130948 1.0869390671846844 0.4791706742780068 2.584962500721156 1.315172029168969 RE-576.txt VirtualDrone.java 1
983 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-576.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/VirtualDroneFleetFactory.java 0.2862501014544554 0.7137498985455446 0.8683479130268097 0.13165209 1.014807312218342 0.496325377586098 2.321928094887362 1.2877123795494492 RE-576.txt VirtualDroneFleetFactory.java 1
1182 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-628.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/AbstractFileTransmitServerService.java 0.2274559975268026 0.7725440024731973 0.8827916085720062 0.11720839 1.119729144967259 0.4717583859118217 -0.0 -0.0 RE-628.txt AbstractFileTransmitServerService.java 1
1201 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-628.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/FlightRouteplanningService.java 0.129734090554458 0.8702659094455419 0.7011061012744904 0.2988939 0.8440230688951184 0.542292565026949 1.5 1.1225562489182657 RE-628.txt FlightRouteplanningService.java 1
1288 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-759.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/FullMissionPlan.java 0.1879912622075703 0.8120087377924297 0.398507297039032 0.6014927 0.8895560818334799 0.5292248320196334 2.235926350629033 1.2653331222512114 RE-759.txt FullMissionPlan.java 1
1289 /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-759.txt /Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/JSONMissionPlanReader.java 0.3489060297392772 0.6510939702607228 0.7116135954856873 0.2883864 1.0488404825601896 0.4880809455455606 1.9182958340544896 1.2183406773511978 RE-759.txt JSONMissionPlanReader.java 1
