Source,Target,COS_dist,DistanceMetric.SCM,DistanceMetric.WMD,COS_sim,SimilarityMetric.SCM_sim,SimilarityMetric.WMD_sim,EntropyMetric.MSI_I,EntropyMetric.MSI_X,SourceFile,TargetFile,Linked?
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/FullMissionPlan.java,0.2142189316902699,0.78578106830973,0.9429917484521866,0.05700825,1.1225976331483192,0.4711208494644183,1.9219280948873625,1.2148067842293933,RE-616.txt,FullMissionPlan.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/JSONMissionPlanReader.java,0.2227437046696642,0.7772562953303358,0.993543122895062,0.006456877,1.148807582524794,0.4653743816489262,0.0,0.0,RE-616.txt,JSONMissionPlanReader.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/ServiceIds.java,0.5298616939864275,0.4701383060135725,1.0,0.0,1.2176013720525531,0.4509376719380482,0.0,0.0,RE-616.txt,ServiceIds.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/VirtualDrone.java,0.175644917154252,0.824355082845748,0.889958918094635,0.11004108,1.0803228417142738,0.4806946210213976,1.5,1.1225562489182657,RE-616.txt,VirtualDrone.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/TaskList.java,0.2903008870390977,0.7096991129609023,1.0,0.0,1.1699263004086065,0.46084514474602,0.0,0.0,RE-616.txt,TaskList.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IMissionTask.java,0.2757791712080695,0.7242208287919305,1.0,0.0,1.1556051202531854,0.4639068587304828,0.0,0.0,RE-616.txt,IMissionTask.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/CommandIds.java,0.3169326239443324,0.6830673760556676,0.9131159782409668,0.08688402,1.0637796708180387,0.4845478488523055,-0.0,-0.0,RE-616.txt,CommandIds.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SendToSubscriberCallable.java,0.1877256861920843,0.8122743138079157,0.7088164687156677,0.29118353,1.0198172634590783,0.4950942929794699,1.5,1.1225562489182657,RE-616.txt,SendToSubscriberCallable.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/RouteTask.java,0.3081373588996385,0.6918626411003614,1.0,0.0,1.1629841823530145,0.4623242315679555,0.0,0.0,RE-616.txt,RouteTask.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IDroneConnectorServiceInstance.java,0.2917401947033408,0.7082598052966592,0.9533129520714284,0.046687048,1.1622470095235151,0.4624818513312989,-0.0,-0.0,RE-616.txt,IDroneConnectorServiceInstance.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DroneVoltageSimulator.java,0.2626803394344886,0.7373196605655113,1.0,0.0,1.1242766825415045,0.4707484708647231,0.0,0.0,RE-616.txt,DroneVoltageSimulator.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/GoToCommand.java,0.2029033349681029,0.797096665031897,0.8405651152133942,0.15943488,0.9877269316960252,0.5030872118569886,1.584962500721156,1.1699250014423124,RE-616.txt,GoToCommand.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DroneFleetManager.java,0.2323825713699657,0.7676174286300342,0.9394816048443316,0.060518395,1.1152968702006378,0.4727468820511937,2.2516291673878226,1.2667563532600834,RE-616.txt,DroneFleetManager.java,0
